reference|marque|modele|annee|couleur|carburant|kilometrage|immatriculation|ville|prix|qte_initial
VEH-6621|Hyundai|i20|2016|Rouge flamme|Hybride|57601|80-CBN-859|Toulouse|52119|6
VEH-6622|Mini|Countryman|2016|Blanc nacre|Electrique|78647|50-UIG-934|Bordeaux|13387|7
VEH-6623|Nissan|Micra|2020|Rouge flamme|Diesel|142675|24-JOU-312|Le Mans|17030|4
VEH-6624|Fiat|Tipo|2017|Bleu intense|GPL|136304|10-YWZ-162|Bordeaux|53917|4
VEH-6625|Ford|Mustang Mach-E|2021|Violet royal|Essence|65301|82-SJX-965|Nice|32942|7
VEH-6626|Ford|Puma|2019|Beige sable|GPL|106372|69-FMX-213|Martigues|11957|5
VEH-6627|BMW|Serie 3|2023|Rouge flamme|Essence|157063|99-CUU-951|Reims|39770|6
VEH-6628|Mercedes|GLA|2024|Beige sable|Essence|56022|28-BRS-611|Perpignan|19292|1
VEH-6629|Mercedes|GLA|2019|Rouge flamme|Hybride|87709|46-UOE-495|Grenoble|21494|2
VEH-6630|Hyundai|Ioniq 5|2020|Rouge flamme|Diesel|37594|39-ASJ-586|Amiens|10051|3
VEH-6631|Fiat|Panda|2024|Violet royal|Electrique|71107|42-MSM-849|Lille|35221|7
VEH-6632|Volkswagen|Tiguan|2016|Violet royal|GPL|102826|20-ZMD-499|Nice|34962|8
VEH-6633|Mini|Countryman|2017|Beige sable|Essence|143674|46-BXU-687|Le Havre|52006|2
VEH-6634|Peugeot|2008|2018|Violet royal|GPL|150842|53-ULS-154|Nimes|50712|1
VEH-6635|Audi|A3|2015|Noir perla|GPL|193151|75-DPT-795|Annecy|48283|6
VEH-6636|Audi|A3|2023|Blanc nacre|Hybride|54272|82-ANH-950|Amiens|38391|4
VEH-6637|Fiat|Tipo|2019|Gris platine|GPL|30815|35-CZK-464|Strasbourg|31128|5
VEH-6638|Mini|Cooper|2020|Bleu intense|Electrique|86412|34-ERN-251|Grenoble|44452|7
VEH-6639|BMW|Serie 3|2016|Gris platine|GPL|197612|80-ASZ-223|Amiens|53135|8
VEH-6640|Seat|Ibiza|2015|Violet royal|Diesel|15623|80-NEJ-779|Reims|17471|1
VEH-6641|BMW|X1|2018|Orange fusion|Diesel|174981|86-MCV-490|Perpignan|32270|2
VEH-6642|Volkswagen|ID.3|2023|Rouge flamme|Diesel|102785|18-RWI-407|Metz|43597|1
VEH-6643|Volkswagen|Golf|2023|Beige sable|Diesel|113194|29-TST-965|Lille|34240|3
VEH-6644|Dacia|Duster|2022|Beige sable|Essence|168806|28-BYA-729|Hyeres|52200|2
VEH-6645|Dacia|Sandero|2019|Gris platine|GPL|78933|31-XRY-907|Strasbourg|16172|3
VEH-6646|Toyota|Corolla|2025|Gris platine|Electrique|61657|18-KRJ-940|Limoges|18486|3
VEH-6647|Dacia|Duster|2025|Orange fusion|GPL|55793|24-HIB-283|Besancon|31606|4
VEH-6648|BMW|X1|2023|Orange fusion|Electrique|36511|95-XVL-921|Amiens|40837|5
VEH-6649|Mini|Clubman|2024|Rouge flamme|Essence|100627|58-UHI-714|Mulhouse|44347|1
VEH-6650|Ford|Focus|2020|Bleu intense|Hybride|180260|59-SFQ-194|Le Havre|43816|8
VEH-6651|Renault|Arkana|2021|Argent|Hybride|149822|31-VJG-406|Saint-Etienne|27496|7
VEH-6652|Nissan|Micra|2018|Beige sable|Electrique|136279|23-ONM-660|Villeurbanne|14470|1
VEH-6653|Fiat|Tipo|2025|Argent|GPL|179370|24-MWO-511|Dijon|20332|8
VEH-6654|Toyota|Yaris Hybrid|2018|Blanc nacre|Hybride|83246|85-TVQ-904|Toulouse|55243|4
VEH-6655|Kia|EV6|2023|Rouge flamme|Essence|91557|57-RLG-383|Nimes|9407|8
VEH-6656|Peugeot|208|2025|Noir perla|Diesel|33112|26-LXI-562|Dijon|27267|2
VEH-6657|Nissan|Juke|2022|Gris platine|Diesel|51937|96-KDF-166|Clermont-Ferrand|35660|5
VEH-6658|Hyundai|i30|2020|Gris platine|Electrique|84702|13-HFA-242|Bordeaux|29527|6
VEH-6659|Toyota|Yaris Hybrid|2020|Beige sable|Essence|94018|37-EOL-229|Reims|47645|3
VEH-6660|Fiat|600|2018|Blanc nacre|GPL|173753|68-KVS-331|Lyon|19410|7
VEH-6661|Renault|Kadjar|2016|Blanc nacre|GPL|81400|85-IXZ-481|Montpellier|47720|6
VEH-6662|Peugeot|3008|2017|Bleu intense|GPL|110812|36-RAK-879|Besancon|42483|6
VEH-6663|Mercedes|Classe A|2022|Noir perla|Electrique|128697|20-IYP-720|Le Havre|58320|8
VEH-6664|Nissan|Leaf|2020|Noir perla|Hybride|29392|30-TLS-257|Le Havre|57525|3
VEH-6665|Ford|Focus|2016|Bleu intense|Hybride|64152|67-QGH-955|Strasbourg|57241|6
VEH-6666|Volkswagen|Polo|2018|Argent|Diesel|114726|26-OOE-293|Tours|30188|5
VEH-6667|Peugeot|208|2020|Vert olive|GPL|161063|60-SXI-572|Nimes|16247|6
VEH-6668|Renault|Scenic E-Tech|2018|Noir perla|Diesel|169091|40-FZJ-304|Amiens|35324|5
VEH-6669|Fiat|Panda|2025|Noir perla|Electrique|73321|11-JSJ-491|Perpignan|51104|3
VEH-6670|Mercedes|GLA|2018|Noir perla|Diesel|25797|59-ALJ-167|Clermont-Ferrand|29179|4
VEH-6671|Nissan|Leaf|2016|Noir perla|Electrique|99716|24-UHR-648|Metz|14366|4
VEH-6672|Audi|A1|2023|Bleu intense|Essence|184134|80-DFG-682|Le Havre|19255|1
VEH-6673|Nissan|Juke|2023|Beige sable|Diesel|115428|10-BLR-563|Marseille|29748|1
VEH-6674|Toyota|Yaris Hybrid|2021|Blanc nacre|GPL|141598|66-NKC-629|Metz|10409|7
VEH-6675|Kia|Ceed|2019|Rouge flamme|Essence|160954|60-KAY-735|Dijon|54671|2
VEH-6676|Hyundai|Tucson|2023|Argent|GPL|106596|40-BKN-215|Lyon|59163|3
VEH-6677|Toyota|C-HR|2017|Vert olive|GPL|166206|42-APZ-151|Clermont-Ferrand|51412|4
VEH-6678|Ford|Fiesta|2015|Vert olive|Hybride|147668|16-GHM-990|Marseille|34270|7
VEH-6679|Dacia|Sandero|2022|Vert olive|GPL|9280|80-EWQ-911|Toulon|32185|8
VEH-6680|Volkswagen|Polo|2024|Blanc nacre|GPL|66666|18-IJY-178|Rennes|18334|2
VEH-6681|Volkswagen|Golf|2021|Violet royal|Electrique|71367|29-OKM-520|Amiens|8154|5
VEH-6682|Mini|Countryman|2017|Vert olive|Essence|118839|66-DXK-186|Rennes|59162|6
VEH-6683|Renault|Arkana|2019|Beige sable|GPL|163801|13-ZSL-632|Aix-en-Provence|51028|1
VEH-6684|Peugeot|2008|2016|Orange fusion|GPL|93163|73-MMU-117|Toulon|20768|1
VEH-6685|Volkswagen|Golf|2021|Rouge flamme|Electrique|88298|43-DWM-336|Villeurbanne|24211|1
VEH-6686|Mercedes|GLC|2015|Bleu intense|Hybride|143292|73-LGH-384|Brest|25124|2
VEH-6687|Renault|Twingo|2020|Bleu intense|Hybride|190546|94-WRM-898|Annecy|20028|7
VEH-6688|Volkswagen|ID.3|2025|Argent|Diesel|68384|46-IRR-376|Limoges|27935|3
VEH-6689|Hyundai|Kona|2025|Violet royal|Hybride|75374|74-SPE-877|Montpellier|40409|5
VEH-6690|Dacia|Sandero|2023|Argent|Electrique|69149|17-AOX-932|Toulouse|16408|3
VEH-6691|Opel|Mokka|2025|Beige sable|Diesel|156956|82-EIA-401|Strasbourg|42481|1
VEH-6692|Hyundai|Tucson|2017|Argent|Hybride|154358|97-IPT-689|Grenoble|26621|8
VEH-6693|Nissan|Micra|2021|Violet royal|GPL|187819|92-ROI-328|Villeurbanne|51710|8
VEH-6694|Audi|Q3|2025|Argent|Electrique|30006|17-CDV-941|Brest|45334|5
VEH-6695|Ford|Focus|2021|Noir perla|GPL|109973|34-XBW-312|Besancon|23820|7
VEH-6696|Peugeot|208|2019|Rouge flamme|Diesel|188978|64-NOP-892|Metz|26368|3
VEH-6697|Peugeot|408|2022|Bleu intense|GPL|13938|93-KOK-972|Nice|42467|8
VEH-6698|Mercedes|GLA|2023|Argent|GPL|144875|58-NGW-545|Mulhouse|46014|8
VEH-6699|BMW|X3|2015|Beige sable|Diesel|192662|91-NSL-698|Amiens|12721|6
VEH-6700|Citroen|Berlingo|2022|Rouge flamme|Electrique|195260|67-TPR-240|Tours|8570|3
VEH-6701|Mercedes|Classe A|2019|Violet royal|Diesel|104597|52-IMC-632|Aix-en-Provence|45838|1
VEH-6702|Ford|Fiesta|2021|Argent|Hybride|24721|67-IYX-251|Saint-Etienne|25503|7
VEH-6703|Renault|Scenic E-Tech|2017|Gris platine|Diesel|11074|79-WSO-821|Clermont-Ferrand|17224|1
VEH-6704|Mini|Countryman|2024|Orange fusion|GPL|137841|16-XOY-155|Amiens|20212|2
VEH-6705|Dacia|Duster|2023|Orange fusion|GPL|29792|82-VUE-828|Caen|56468|4
VEH-6706|Audi|A3|2016|Rouge flamme|Hybride|123025|13-LZT-103|Saint-Etienne|50894|4
VEH-6707|Citroen|C4|2019|Beige sable|Hybride|74180|96-XBZ-734|Strasbourg|55650|8
VEH-6708|Hyundai|Tucson|2024|Vert olive|Hybride|101184|62-EBE-329|Clermont-Ferrand|31903|4
VEH-6709|Renault|Scenic E-Tech|2018|Beige sable|Essence|165055|76-RXA-420|Villeurbanne|45752|6
VEH-6710|Hyundai|i30|2023|Beige sable|Essence|22073|70-BDB-740|Dijon|11236|8
VEH-6711|Opel|Astra|2022|Vert olive|Diesel|94491|36-UIF-823|Reims|32157|7
VEH-6712|Seat|Arona|2022|Bleu intense|Hybride|167311|27-LXV-700|Reims|56371|5
VEH-6713|Audi|A1|2020|Gris platine|GPL|175633|70-OSP-608|Limoges|25833|5
VEH-6714|Mercedes|Classe C|2017|Orange fusion|Hybride|24287|96-IYC-514|Tours|24752|1
VEH-6715|Renault|Clio V|2017|Orange fusion|GPL|28601|84-ZCA-612|Toulouse|57043|3
VEH-6716|Volkswagen|Polo|2017|Gris platine|Essence|16711|11-TDZ-265|Saint-Etienne|42745|6
VEH-6717|Citroen|Berlingo|2015|Vert olive|Electrique|115599|57-EZZ-987|Lille|38970|5
VEH-6718|BMW|X1|2018|Vert olive|Diesel|66419|23-FXT-596|Lyon|30544|6
VEH-6719|Opel|Astra|2024|Bleu intense|Electrique|76044|94-BUD-643|Saint-Etienne|19209|6
VEH-6720|Mini|Countryman|2016|Violet royal|GPL|16874|77-QOX-448|Amiens|26414|5
VEH-6721|Nissan|Juke|2025|Noir perla|Essence|173392|90-YIQ-335|Bordeaux|57608|1
VEH-6722|Peugeot|2008|2025|Vert olive|Electrique|5028|88-ASF-756|Villeurbanne|50404|2
VEH-6723|BMW|Serie 3|2023|Rouge flamme|Essence|124413|81-OTP-830|Amiens|23769|8
VEH-6724|Opel|Grandland|2018|Beige sable|Hybride|79634|44-JBT-485|Dijon|31236|5
VEH-6725|Hyundai|i20|2015|Bleu intense|Electrique|189477|59-FNF-958|Villeurbanne|12504|3
VEH-6726|Mercedes|Classe A|2017|Argent|Electrique|171518|57-UGJ-135|Le Mans|22674|5
VEH-6727|Mercedes|Classe A|2022|Rouge flamme|GPL|129062|83-SHI-312|Brest|15482|8
VEH-6728|Mercedes|GLA|2020|Bleu intense|Hybride|109876|47-JKR-486|Le Mans|17222|1
VEH-6729|Fiat|500|2018|Bleu intense|Essence|179817|31-PSD-727|Rouen|18918|3
VEH-6730|Mercedes|GLA|2017|Rouge flamme|GPL|178959|76-EKU-260|Rouen|15508|3
VEH-6731|Nissan|Juke|2018|Noir perla|Essence|132760|88-JWG-971|Montpellier|35519|1
VEH-6732|Fiat|500|2015|Bleu intense|Essence|7119|59-WFQ-422|Villeurbanne|47696|5
VEH-6733|Opel|Mokka|2022|Gris platine|Essence|103892|66-VPU-159|Le Havre|53347|3
VEH-6734|BMW|X3|2020|Orange fusion|Electrique|177074|35-SBP-210|Angers|26256|4
VEH-6735|Citroen|Berlingo|2019|Blanc nacre|Electrique|63877|55-EDL-558|Villeurbanne|47602|5
VEH-6736|Dacia|Jogger|2024|Argent|Essence|133555|73-ARN-307|Hyeres|25047|3
VEH-6737|Hyundai|i20|2021|Beige sable|Essence|186616|24-ZMF-416|Nice|8699|5
VEH-6738|Mercedes|GLC|2024|Blanc nacre|Electrique|162747|53-UMH-969|Bordeaux|16741|8
VEH-6739|Hyundai|i30|2020|Noir perla|Diesel|124536|42-AQJ-351|Saint-Etienne|37280|3
VEH-6740|Hyundai|i30|2015|Bleu intense|Diesel|127765|61-TWU-854|Le Havre|10025|8
VEH-6741|Peugeot|2008|2023|Argent|Electrique|40028|41-BUC-967|Strasbourg|13185|2
VEH-6742|Dacia|Jogger|2015|Rouge flamme|Electrique|101635|90-YVF-401|Reims|38245|2
VEH-6743|Dacia|Spring|2024|Violet royal|Diesel|94148|51-CLR-701|Mulhouse|55922|6
VEH-6744|Dacia|Spring|2017|Beige sable|Essence|100023|19-KFG-850|Le Mans|12297|6
VEH-6745|Renault|Scenic E-Tech|2019|Vert olive|GPL|32948|66-FFS-904|Dijon|39934|7
VEH-6746|Volkswagen|Polo|2021|Bleu intense|Hybride|103910|80-RLH-241|Lille|51355|1
VEH-6747|Kia|Ceed|2023|Vert olive|Hybride|103344|69-CKO-945|Rennes|31948|4
VEH-6748|Dacia|Spring|2023|Gris platine|Diesel|139972|64-NTW-485|Toulon|48063|4
VEH-6749|BMW|Serie 1|2020|Bleu intense|Diesel|194024|79-OPL-746|Toulon|16542|7
VEH-6750|Peugeot|408|2017|Orange fusion|GPL|86918|51-ISF-592|Le Mans|38129|8
VEH-6751|Mercedes|GLC|2022|Beige sable|GPL|110134|42-BSX-644|Annecy|47267|2
VEH-6752|Fiat|600|2017|Violet royal|Essence|195912|58-QXW-880|Amiens|10175|6
VEH-6753|Peugeot|5008|2023|Violet royal|GPL|145398|43-DFB-267|Nimes|22783|6
VEH-6754|Renault|Scenic E-Tech|2024|Argent|Diesel|35004|71-LYK-237|Angers|59316|8
VEH-6755|Opel|Astra|2025|Orange fusion|Hybride|153216|12-EOZ-414|Le Mans|44478|3
VEH-6756|Renault|Twingo|2020|Violet royal|Hybride|133661|14-MIE-499|Perpignan|43733|6
VEH-6757|Audi|A3|2024|Gris platine|Electrique|136143|19-UPP-594|Rouen|11606|6
VEH-6758|Peugeot|5008|2018|Vert olive|Electrique|71780|22-DFL-969|Rouen|48081|2
VEH-6759|BMW|Serie 1|2022|Violet royal|Essence|134295|26-LZP-347|Martigues|45297|3
VEH-6760|BMW|Serie 1|2015|Blanc nacre|Electrique|90970|76-PKA-993|Rennes|46582|8
VEH-6761|Nissan|Leaf|2023|Orange fusion|Hybride|58803|55-XOG-701|Martigues|49942|8
VEH-6762|Hyundai|Ioniq 5|2022|Orange fusion|Diesel|190635|85-KAK-344|Nimes|29332|2
VEH-6763|Peugeot|2008|2020|Blanc nacre|Essence|131590|64-DGE-789|Mulhouse|33389|5
VEH-6764|Opel|Mokka|2022|Orange fusion|Hybride|82736|81-ZML-770|Le Havre|52613|1
VEH-6765|Toyota|C-HR|2025|Bleu intense|GPL|188703|98-BGO-561|Metz|35354|4
VEH-6766|Fiat|Panda|2020|Argent|Electrique|135536|29-XUD-707|Clermont-Ferrand|8540|3
VEH-6767|Citroen|C5 Aircross|2020|Rouge flamme|Electrique|25069|74-JHH-897|Saint-Etienne|35213|7
VEH-6768|Citroen|C3|2024|Blanc nacre|Essence|33560|62-GEO-422|Rennes|18052|5
VEH-6769|Toyota|Yaris Hybrid|2020|Noir perla|GPL|190292|27-AHK-690|Valence|15062|8
VEH-6770|Mercedes|Classe C|2017|Beige sable|GPL|48387|34-CUV-685|Toulouse|45256|2
VEH-6771|Toyota|Corolla|2017|Gris platine|Diesel|153228|28-MVE-564|Villeurbanne|54058|1
VEH-6772|Toyota|Corolla|2019|Violet royal|Essence|169557|67-LTY-101|Metz|58419|7
VEH-6773|Opel|Mokka|2018|Beige sable|GPL|71450|89-QCO-175|Valence|55992|2
VEH-6774|Kia|Ceed|2015|Vert olive|Diesel|100808|54-OMD-230|Limoges|29938|4
VEH-6775|Mini|Countryman|2016|Vert olive|Essence|166579|25-ENO-779|Grenoble|44423|2
VEH-6776|Renault|Scenic E-Tech|2023|Bleu intense|Diesel|62814|74-HUQ-744|Nantes|27555|1
VEH-6777|Audi|A3|2024|Rouge flamme|GPL|125324|33-SZY-163|Aix-en-Provence|53303|8
VEH-6778|Fiat|500|2017|Violet royal|Diesel|23178|39-HDT-957|Limoges|35840|3
VEH-6779|Volkswagen|Golf|2021|Beige sable|Hybride|27473|35-ATN-951|Strasbourg|16495|8
VEH-6780|Nissan|Juke|2019|Violet royal|Diesel|103711|72-FJQ-141|Rouen|31410|5
VEH-6781|Hyundai|Ioniq 5|2023|Violet royal|Electrique|79728|53-ZEZ-796|Bordeaux|29596|4
VEH-6782|Mini|Cooper|2016|Argent|Electrique|35873|14-SWS-133|Le Havre|58071|5
VEH-6783|Audi|A1|2022|Blanc nacre|Essence|43741|52-QBX-490|Caen|48902|1
VEH-6784|Mini|Clubman|2019|Rouge flamme|Hybride|16869|28-TDZ-535|Martigues|26656|5
VEH-6785|Ford|Fiesta|2015|Argent|Diesel|171332|42-UGL-208|Reims|22046|2
VEH-6786|Nissan|Micra|2023|Vert olive|Hybride|21657|84-ZXV-593|Marseille|12348|6
VEH-6787|BMW|X3|2020|Argent|Diesel|194838|80-EGY-565|Saint-Etienne|27408|4
VEH-6788|Toyota|C-HR|2019|Vert olive|Hybride|155867|94-FPC-265|Tours|51099|1
VEH-6789|Ford|Focus|2017|Rouge flamme|Essence|149309|88-TSQ-817|Nimes|32161|8
VEH-6790|Volkswagen|Passat|2016|Beige sable|Hybride|127542|51-HYK-779|Rouen|48868|2
VEH-6791|Dacia|Duster|2024|Noir perla|Diesel|175367|66-JDN-412|Montpellier|34593|5
VEH-6792|Mini|Countryman|2025|Violet royal|GPL|7691|45-DFP-974|Metz|16720|4
VEH-6793|Dacia|Jogger|2018|Gris platine|Essence|34386|34-HLS-424|Strasbourg|34390|4
VEH-6794|Nissan|Micra|2018|Bleu intense|Diesel|61148|30-QZX-390|Lyon|20370|7
VEH-6795|Peugeot|408|2015|Blanc nacre|Essence|163951|71-KVJ-998|Strasbourg|51074|8
VEH-6796|Dacia|Sandero|2021|Noir perla|GPL|100999|21-KWT-301|Rennes|25784|8
VEH-6797|BMW|Serie 3|2016|Orange fusion|Electrique|68837|94-SVP-901|Rouen|54688|5
VEH-6798|Ford|Kuga|2017|Orange fusion|GPL|30819|44-ETB-655|Nimes|34506|2
VEH-6799|Citroen|C3|2020|Bleu intense|Diesel|83562|83-WQR-683|Limoges|23071|7
VEH-6800|BMW|Serie 1|2015|Gris platine|Electrique|65823|90-KEZ-496|Amiens|49473|8
VEH-6801|Citroen|C5 Aircross|2021|Violet royal|Essence|96036|82-LVC-928|Rennes|57137|5
VEH-6802|Volkswagen|Passat|2023|Beige sable|Hybride|38565|27-IWA-913|Montpellier|51394|6
VEH-6803|Seat|Leon|2018|Violet royal|Essence|126751|97-TCZ-886|Amiens|16729|3
VEH-6804|Citroen|C5 Aircross|2023|Blanc nacre|Electrique|77733|18-RLU-718|Nimes|43711|5
VEH-6805|BMW|X1|2025|Gris platine|Hybride|181134|70-OII-195|Brest|39593|2
VEH-6806|Ford|Focus|2023|Blanc nacre|Essence|176702|30-GUE-621|Clermont-Ferrand|20478|3
VEH-6807|Volkswagen|ID.3|2020|Violet royal|Hybride|28275|84-GSY-815|Villeurbanne|48214|7
VEH-6808|Dacia|Duster|2017|Orange fusion|Diesel|138397|15-JXD-292|Rennes|55505|5
VEH-6809|Kia|Picanto|2021|Bleu intense|GPL|99309|93-NON-886|Toulon|31070|4
VEH-6810|Toyota|RAV4|2015|Argent|GPL|195342|20-VHM-532|Paris|35833|5
VEH-6811|Citroen|C3|2016|Argent|Electrique|154150|80-YJZ-237|Grenoble|22144|2
VEH-6812|Ford|Focus|2019|Rouge flamme|GPL|99263|21-QDZ-720|Dijon|54160|4
VEH-6813|Ford|Focus|2017|Bleu intense|GPL|8412|56-WPJ-917|Angers|29195|2
VEH-6814|Peugeot|408|2015|Violet royal|Essence|123198|79-HLT-521|Brest|37221|8
VEH-6815|Peugeot|3008|2020|Blanc nacre|Diesel|75353|43-LHF-725|Perpignan|14712|2
VEH-6816|Opel|Mokka|2017|Orange fusion|Hybride|11162|50-GAS-458|Toulouse|22771|5
VEH-6817|Ford|Mustang Mach-E|2015|Blanc nacre|Diesel|127118|16-SOD-157|Paris|56621|8
VEH-6818|BMW|X1|2021|Rouge flamme|Electrique|191196|64-WGR-402|Saint-Etienne|17540|5
VEH-6819|Mini|Cooper|2015|Vert olive|Diesel|60684|46-XYM-838|Limoges|26428|5
VEH-6820|Citroen|Berlingo|2021|Violet royal|GPL|14444|87-DQJ-910|Saint-Etienne|10995|1
VEH-6821|Fiat|500|2019|Vert olive|Diesel|18102|34-FZQ-402|Brest|39399|8
VEH-6822|Peugeot|2008|2015|Beige sable|Diesel|161564|25-MIV-174|Bordeaux|29426|2
VEH-6823|BMW|Serie 1|2015|Vert olive|Electrique|173366|91-MBE-440|Saint-Etienne|19054|1
VEH-6824|Peugeot|5008|2022|Orange fusion|Essence|174749|25-TZF-493|Brest|51980|7
VEH-6825|Nissan|Micra|2018|Orange fusion|Diesel|88591|39-YUU-408|Paris|16174|1
VEH-6826|Kia|Sportage|2019|Vert olive|Electrique|144164|64-BFQ-246|Angers|21100|7
VEH-6827|Hyundai|i20|2024|Noir perla|Diesel|126341|46-SHO-190|Strasbourg|29436|3
VEH-6828|Opel|Mokka|2025|Beige sable|Diesel|47521|18-NJP-399|Rouen|33777|1
VEH-6829|Hyundai|i20|2017|Orange fusion|GPL|124776|44-PGE-357|Bordeaux|51137|5
VEH-6830|Opel|Corsa|2021|Violet royal|Hybride|89215|25-YDS-179|Besancon|47618|2
VEH-6831|Citroen|C5 Aircross|2023|Noir perla|GPL|152798|20-HLI-931|Toulouse|40059|2
VEH-6832|Dacia|Duster|2019|Gris platine|GPL|173005|78-UJS-134|Mulhouse|51924|3
VEH-6833|Volkswagen|Golf|2020|Argent|Diesel|25759|29-ZSN-453|Martigues|22983|4
VEH-6834|Mini|Clubman|2018|Gris platine|Hybride|47621|84-GYJ-965|Rennes|39337|5
VEH-6835|Peugeot|408|2016|Orange fusion|Hybride|53028|10-FFM-456|Annecy|41772|4
VEH-6836|Audi|Q2|2021|Blanc nacre|Essence|154580|89-CZG-485|Dijon|20115|7
VEH-6837|BMW|X1|2025|Blanc nacre|Essence|74303|58-MEC-700|Paris|54358|6
VEH-6838|Toyota|Aygo X|2016|Argent|GPL|167760|81-NZS-133|Paris|57802|5
VEH-6839|Volkswagen|Passat|2025|Argent|Electrique|115100|27-QIG-553|Perpignan|56434|7
VEH-6840|Audi|Q5|2016|Beige sable|Electrique|36944|18-SGP-138|Tours|12889|2
VEH-6841|Hyundai|Tucson|2016|Bleu intense|Diesel|188809|30-JUA-979|Annecy|25546|5
VEH-6842|Seat|Leon|2018|Orange fusion|Electrique|67592|70-UYY-507|Bordeaux|13072|1
VEH-6843|BMW|Serie 1|2025|Violet royal|Diesel|159937|64-WBJ-754|Limoges|19803|3
VEH-6844|Kia|Ceed|2021|Vert olive|Hybride|130727|47-URJ-419|Martigues|19536|1
VEH-6845|Opel|Mokka|2020|Bleu intense|Hybride|184612|53-AGI-545|Metz|20159|5
VEH-6846|Kia|Ceed|2023|Argent|GPL|65837|73-XGD-230|Amiens|17046|2
VEH-6847|Opel|Corsa|2015|Gris platine|Diesel|59942|74-WKF-183|Perpignan|40291|5
VEH-6848|Fiat|Tipo|2025|Violet royal|GPL|160968|35-BNG-427|Nice|51885|8
VEH-6849|Citroen|C5 Aircross|2019|Blanc nacre|Electrique|97166|60-RVC-598|Reims|50156|8
VEH-6850|Peugeot|208|2019|Noir perla|Hybride|196331|17-CQP-976|Amiens|39613|3
VEH-6851|BMW|Serie 1|2016|Orange fusion|Hybride|94739|81-CVD-333|Saint-Etienne|47398|7
VEH-6852|Mini|Cooper|2024|Bleu intense|Hybride|125399|22-LTY-705|Saint-Etienne|17710|8
VEH-6853|Opel|Corsa|2024|Noir perla|GPL|173763|12-WTE-679|Villeurbanne|43533|4
VEH-6854|Mercedes|GLA|2016|Noir perla|Electrique|64357|13-PZG-887|Marseille|15640|4
VEH-6855|Seat|Leon|2017|Vert olive|Hybride|111622|27-SWE-438|Hyeres|37505|4
VEH-6856|Toyota|Corolla|2024|Violet royal|Essence|119499|90-MAG-837|Le Mans|57345|6
VEH-6857|Renault|Arkana|2025|Rouge flamme|GPL|190326|32-RYR-529|Annecy|37677|1
VEH-6858|Dacia|Spring|2015|Beige sable|Diesel|135769|32-MPJ-931|Saint-Etienne|43728|2
VEH-6859|Citroen|C5 Aircross|2018|Argent|GPL|85881|86-JUU-727|Bordeaux|12319|4
VEH-6860|Citroen|C5 Aircross|2017|Noir perla|GPL|123574|64-NPJ-666|Paris|29059|6
VEH-6861|Kia|EV6|2025|Rouge flamme|GPL|16703|41-KNI-917|Valence|20443|3
VEH-6862|Audi|Q5|2016|Bleu intense|Hybride|109522|21-OBF-718|Nice|48621|4
VEH-6863|Volkswagen|Passat|2016|Noir perla|Electrique|73625|77-OZK-692|Dijon|58563|6
VEH-6864|Citroen|Berlingo|2016|Rouge flamme|GPL|20234|63-ZIK-589|Angers|54233|7
VEH-6865|Dacia|Spring|2020|Beige sable|Diesel|76103|63-KJI-708|Valence|17903|3
VEH-6866|Citroen|C5 Aircross|2022|Vert olive|Hybride|97926|79-KHH-134|Toulon|57734|2
VEH-6867|BMW|X3|2015|Bleu intense|Electrique|109317|85-BTU-992|Dijon|35692|8
VEH-6868|Mini|Clubman|2017|Noir perla|Hybride|195924|65-YEQ-268|Strasbourg|29986|8
VEH-6869|Seat|Ibiza|2021|Violet royal|Essence|109012|15-FEV-922|Angers|48628|4
VEH-6870|Seat|Leon|2021|Beige sable|Hybride|194512|13-HPN-345|Villeurbanne|31346|3
VEH-6871|Toyota|C-HR|2021|Orange fusion|Diesel|96703|14-PUH-997|Rennes|23535|4
VEH-6872|BMW|Serie 3|2022|Orange fusion|Hybride|19273|33-WPP-814|Valence|12954|4
VEH-6873|Citroen|C5 Aircross|2020|Orange fusion|Hybride|165205|33-GZD-137|Brest|27586|3
VEH-6874|Nissan|Micra|2015|Orange fusion|Essence|11048|27-VLA-810|Clermont-Ferrand|57722|4
VEH-6875|Kia|Niro|2020|Orange fusion|GPL|21016|38-ZLL-534|Dijon|13122|5
VEH-6876|Nissan|Leaf|2022|Argent|Diesel|129312|49-PUV-354|Rennes|46542|2
VEH-6877|Seat|Arona|2021|Vert olive|GPL|160811|46-JUZ-842|Perpignan|36178|7
VEH-6878|Volkswagen|T-Roc|2022|Orange fusion|Hybride|105144|58-WON-653|Toulon|39442|4
VEH-6879|Mini|Clubman|2018|Rouge flamme|Hybride|5055|21-POA-915|Lille|53558|5
VEH-6880|BMW|Serie 1|2017|Violet royal|Diesel|38642|74-BAZ-599|Hyeres|24688|7
VEH-6881|Toyota|Yaris Hybrid|2016|Vert olive|Electrique|102803|89-MHQ-179|Annecy|39334|4
VEH-6882|Mercedes|GLA|2016|Gris platine|GPL|114260|75-ILR-442|Le Mans|57893|2
VEH-6883|Mini|Countryman|2021|Orange fusion|Diesel|138395|72-GCB-663|Saint-Etienne|30380|6
VEH-6884|Volkswagen|Polo|2020|Rouge flamme|Electrique|116690|49-ZCG-161|Metz|42152|2
VEH-6885|Renault|Kadjar|2024|Argent|Electrique|7777|36-WBV-818|Amiens|33710|7
